t,query_p,query_q,query_r
12.539999999999777,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,-0x1.3889ab7cd89c8p-3
12.569999999999776,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,-0x1.3889ab7cd89c8p-3
12.599999999999776,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,-0x1.3889ab7cd89c8p-3
12.629999999999775,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,-0x1.3889ab7cd89c8p-3
12.659999999999775,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,-0x1.3889ab7cd89c8p-3
12.689999999999774,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,-0x1.3889ab7cd89c8p-3
12.719999999999773,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,-0x1.3889ab7cd89c8p-3
12.749999999999773,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,-0x1.3889ab7cd89c8p-3
12.779999999999772,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,-0x1.3889ab7cd89c8p-3
12.809999999999771,0x1.b2414752ac550p-5,0x1.51eaeae06cbfcp-4,-0x1.3889ab7cd89c8p-3
12.83999999999977,0x1.b2414752ac550p-5,0x1.51eaeae06cbfcp-4,-0x1.3889ab7cd89c8p-3
12.86999999999977,0x1.b2414752ac550p-5,0x1.51eaeae06cbfcp-4,-0x1.3889ab7cd89c8p-3
12.89999999999977,0x1.b2414752ac550p-5,0x1.51eaeae06cbfcp-4,-0x1.3889ab7cd89c8p-3
12.929999999999769,0x1.b2414752ac550p-5,0x1.51eaeae06cbfcp-4,-0x1.3889ab7cd89c8p-3
12.959999999999768,0x1.b2414752ac550p-5,-0x1.755e84e8aa6aap-4,-0x1.3889ab7cd89c8p-3
12.989999999999768,0x1.b2414752ac550p-5,-0x1.755e84e8aa6aap-4,-0x1.3889ab7cd89c8p-3
13.019999999999767,0x1.b2414752ac550p-5,-0x1.755e84e8aa6aap-4,-0x1.3889ab7cd89c8p-3
13.049999999999766,0x1.b2414752ac550p-5,-0x1.755e84e8aa6aap-4,-0x1.3889ab7cd89c8p-3
13.079999999999766,0x1.b2414752ac550p-5,-0x1.755e84e8aa6aap-4,-0x1.3889ab7cd89c8p-3
13.109999999999765,0x1.b2414752ac550p-5,-0x1.755e84e8aa6aap-4,-0x1.3889ab7cd89c8p-3
13.139999999999764,0x1.b2414752ac550p-5,-0x1.755e84e8aa6aap-4,-0x1.3889ab7cd89c8p-3
13.169999999999764,0x1.b2414752ac550p-5,-0x1.755e84e8aa6aap-4,-0x1.3889ab7cd89c8p-3
13.199999999999763,0x1.b2414752ac550p-5,-0x1.755e84e8aa6aap-4,0x1.a648aa155d910p-4
13.229999999999762,0x1.b2414752ac550p-5,-0x1.755e84e8aa6aap-4,0x1.a648aa155d910p-4
13.259999999999762,0x1.b2414752ac550p-5,-0x1.755e84e8aa6aap-4,0x1.a648aa155d910p-4
13.289999999999761,0x1.b2414752ac550p-5,-0x1.755e84e8aa6aap-4,0x1.a648aa155d910p-4
13.31999999999976,0x1.b2414752ac550p-5,-0x1.755e84e8aa6aap-4,0x1.a648aa155d910p-4
13.34999999999976,0x1.b2414752ac550p-5,-0x1.755e84e8aa6aap-4,0x1.a648aa155d910p-4
13.37999999999976,0x1.b2414752ac550p-5,-0x1.755e84e8aa6aap-4,0x1.a648aa155d910p-4
13.409999999999759,0x1.b2414752ac550p-5,-0x1.755e84e8aa6aap-4,0x1.a648aa155d910p-4
13.439999999999758,0x1.b2414752ac550p-5,-0x1.755e84e8aa6aap-4,0x1.a648aa155d910p-4
13.469999999999757,0x1.b2414752ac550p-5,-0x1.755e84e8aa6aap-4,0x1.a648aa155d910p-4
13.499999999999757,0x1.b2414752ac550p-5,-0x1.e26ca729d2324p-4,0x1.a648aa155d910p-4
13.529999999999756,0x1.b2414752ac550p-5,-0x1.e26ca729d2324p-4,0x1.a648aa155d910p-4
13.559999999999755,0x1.b2414752ac550p-5,-0x1.e26ca729d2324p-4,0x1.a648aa155d910p-4
13.589999999999755,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.a648aa155d910p-4
13.619999999999754,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.a648aa155d910p-4
13.649999999999753,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.a648aa155d910p-4
13.679999999999753,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.a648aa155d910p-4
13.709999999999752,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.a648aa155d910p-4
13.739999999999752,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.a648aa155d910p-4
13.76999999999975,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.a648aa155d910p-4
13.79999999999975,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.a648aa155d910p-4
13.82999999999975,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.a648aa155d910p-4
13.859999999999749,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.a648aa155d910p-4
13.889999999999748,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.a648aa155d910p-4
13.919999999999748,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.a648aa155d910p-4
13.949999999999747,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.a648aa155d910p-4
13.979999999999746,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.66bde0bfe44dep-3
14.009999999999746,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.66bde0bfe44dep-3
14.039999999999745,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.66bde0bfe44dep-3
14.069999999999744,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.66bde0bfe44dep-3
14.099999999999744,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.66bde0bfe44dep-3
14.129999999999743,-0x1.e723eceeccd17p-4,-0x1.e26ca729d2324p-4,0x1.66bde0bfe44dep-3
14.159999999999743,-0x1.e723eceeccd17p-4,-0x1.8af37919d62b7p-3,0x1.66bde0bfe44dep-3
14.189999999999742,-0x1.e723eceeccd17p-4,-0x1.8af37919d62b7p-3,0x1.66bde0bfe44dep-3
14.219999999999741,-0x1.e723eceeccd17p-4,-0x1.8af37919d62b7p-3,0x1.66bde0bfe44dep-3
14.24999999999974,-0x1.e723eceeccd17p-4,-0x1.8af37919d62b7p-3,0x1.66bde0bfe44dep-3
14.27999999999974,0x1.3f4811be6a598p-3,-0x1.8af37919d62b7p-3,0x1.66bde0bfe44dep-3
14.30999999999974,0x1.3f4811be6a598p-3,-0x1.8af37919d62b7p-3,0x1.66bde0bfe44dep-3
14.339999999999739,0x1.3f4811be6a598p-3,-0x1.8af37919d62b7p-3,0x1.66bde0bfe44dep-3
14.369999999999738,0x1.3f4811be6a598p-3,-0x1.8af37919d62b7p-3,0x1.66bde0bfe44dep-3
14.399999999999737,0x1.3f4811be6a598p-3,-0x1.8af37919d62b7p-3,0x1.66bde0bfe44dep-3
14.429999999999737,0x1.3f4811be6a598p-3,-0x1.8af37919d62b7p-3,0x1.66bde0bfe44dep-3
14.459999999999736,0x1.3f4811be6a598p-3,-0x1.8af37919d62b7p-3,0x1.66bde0bfe44dep-3
14.489999999999736,0x1.3f4811be6a598p-3,-0x1.8af37919d62b7p-3,0x1.66bde0bfe44dep-3
14.519999999999735,0x1.3f4811be6a598p-3,-0x1.8af37919d62b7p-3,0x1.66bde0bfe44dep-3
14.549999999999734,0x1.3f4811be6a598p-3,-0x1.8af37919d62b7p-3,-0x1.b2139369d8700p-10
14.579999999999734,0x1.3f4811be6a598p-3,-0x1.8af37919d62b7p-3,-0x1.b2139369d8700p-10
